SNR,STFT-CNN,LPI-Net,CDAE-DCNN,LDC-Unet,ViT
10,44.93939394,45.18181818,44.74242424,71.59090909,44.21212121
5,44.93939394,45.48484848,44.39393939,68.42424242,43.75757576
0,42.75757576,43.42424242,42.5,62.6969697,43.18181818
-2,42.01515152,42.74242424,41.68181818,59.53030303,42.93939394
-4,41.8030303,41.92424242,40.93939394,55.16666667,42.86363636
-6,40.31818182,42.18181818,40.95454545,51.01515152,42.13636364
-8,38.63636364,41.07575758,40.25757576,48.34848485,42.25757576
-10,38.95454545,40.07575758,39.77272727,46.46969697,42.6969697
-12,37.66666667,38.18181818,40,44.59090909,41.59090909
-14,36.39393939,36.78787879,37.3030303,44.18181818,40.22727273
-16,33.65151515,33.98484848,36.12121212,43.59090909,38.90909091
-18,31.56060606,29.54545455,32.43939394,42.40909091,36.16666667
-20,25.48484848,19.60606061,25.03030303,41.84848485,29.48484848
