Algorithm,SNR,Modulations,Accuracy (%),Time Taken (Minutes),Learning Rate,Epoch Count
CDAE-DCNN,10,FM,90.80769231,1549.796944,0.001,200 / 200
CDAE-DCNN,5,FM,90.80769231,1488.923676,0.001,200 / 200
CDAE-DCNN,0,FM,90.34615385,786.732439,0.001,200 / 200
CDAE-DCNN,-2,FM,90.03846154,776.2807431,0.001,200 / 200
CDAE-DCNN,-4,FM,90.73076923,776.8520558,0.001,200 / 200
CDAE-DCNN,-6,FM,90.15384615,778.8337886,0.001,200 / 200
CDAE-DCNN,-8,FM,89.38461538,777.7282176,0.001,200 / 200
CDAE-DCNN,-10,FM,88.07692308,785.7799313,0.001,200 / 200
CDAE-DCNN,-12,FM,87.46153846,785.6134541,0.001,200 / 200
CDAE-DCNN,-14,FM,85.5,779.0845566,0.001,200 / 200
CDAE-DCNN,-16,FM,81.92307692,775.4715288,0.001,200 / 200
CDAE-DCNN,-18,FM,75.46153846,787.0470099,0.001,200 / 200
CDAE-DCNN,-20,FM,63.84615385,782.9671042,0.001,200 / 200
LDC-Unet,10,FM,91.46153846,5952.669744,0.0001,189 / 200
LDC-Unet,5,FM,91.34615385,6361.395898,0.0001,200 / 200
LDC-Unet,0,FM,92.23076923,5560.027002,0.0001,175 / 200
LDC-Unet,-2,FM,91.96153846,6343.944877,0.0001,200 / 200
LDC-Unet,-4,FM,91.65384615,6357.911904,0.0001,200 / 200
LDC-Unet,-6,FM,91.92307692,5303.873518,0.0001,167 / 200
LDC-Unet,-8,FM,91.76923077,6353.32497,0.0001,200 / 200
LDC-Unet,-10,FM,91.23076923,6360.365411,0.0001,200 / 200
LDC-Unet,-12,FM,91.5,5624.028447,0.0001,177 / 200
LDC-Unet,-14,FM,91.42307692,4951.402542,0.0001,156 / 200
LDC-Unet,-16,FM,91.88461538,5932.87803,0.0001,186 / 200
LDC-Unet,-18,FM,90.84615385,6341.629574,0.0001,200 / 200
LDC-Unet,-20,FM,90.46153846,5993.345483,0.0001,189 / 200
LPI-Net,10,FM,89.34615385,1304.457198,0.01,200 / 200
LPI-Net,5,FM,88.07692308,1285.578483,0.01,200 / 200
LPI-Net,0,FM,87.92307692,1304.676749,0.01,200 / 200
LPI-Net,-2,FM,87.65384615,842.675885,0.01,200 / 200
LPI-Net,-4,FM,86.57692308,765.7828748,0.01,200 / 200
LPI-Net,-6,FM,85.61538462,743.9431183,0.01,194 / 200
LPI-Net,-8,FM,84.42307692,745.9041569,0.01,196 / 200
LPI-Net,-10,FM,80.96153846,729.7548935,0.01,200 / 200
LPI-Net,-12,FM,76.61538462,662.1698523,0.01,187 / 200
LPI-Net,-14,FM,69.65384615,709.8612065,0.01,200 / 200
LPI-Net,-16,FM,59.88461538,702.2877674,0.01,200 / 200
LPI-Net,-18,FM,40.0,710.6040239,0.01,200 / 200
LPI-Net,-20,FM,12.46153846,714.4741051,0.01,200 / 200
STFT-CNN,10,FM,82.26923077,651.3077509,0.001,200 / 200
STFT-CNN,5,FM,80.34615385,669.9112384,0.001,200 / 200
STFT-CNN,0,FM,80.88461538,668.4010515,0.001,200 / 200
STFT-CNN,-2,FM,76.57692308,658.9206896,0.001,200 / 200
STFT-CNN,-4,FM,79.76923077,669.3013577,0.001,200 / 200
STFT-CNN,-6,FM,77.11538462,664.2553182,0.001,200 / 200
STFT-CNN,-8,FM,75.57692308,558.1713338,0.001,200 / 200
STFT-CNN,-10,FM,74.46153846,496.054692,0.001,200 / 200
STFT-CNN,-12,FM,73.61538462,492.047457,0.001,200 / 200
STFT-CNN,-14,FM,67.80769231,492.7344115,0.001,200 / 200
STFT-CNN,-16,FM,68.0,501.2570782,0.001,200 / 200
STFT-CNN,-18,FM,59.92307692,490.0583096,0.001,200 / 200
STFT-CNN,-20,FM,52.57692308,498.3958125,0.001,200 / 200
ViT,10,FM,58.69230769,25.98,0.0001,200 / 200
ViT,5,FM,55.92307692,25.69,0.0001,200 / 200
ViT,0,FM,51.57692308,35.66,0.0001,200 / 200
ViT,-2,FM,46.96153846,25.76,0.0001,200 / 200
ViT,-4,FM,44.15384615,25.63,0.0001,200 / 200
ViT,-6,FM,48.03846154,25.57,0.0001,200 / 200
ViT,-8,FM,48.30769231,25.85,0.0001,200 / 200
ViT,-10,FM,40.38461538,25.79,0.0001,200 / 200
ViT,-12,FM,21.07692308,25.61,0.0001,200 / 200
ViT,-14,FM,15.96153846,25.63,0.0001,200 / 200
ViT,-16,FM,12.5,25.88,0.0001,200 / 200
ViT,-18,FM,9.307692308,25.72,0.0001,200 / 200
ViT,-20,FM,8.0,25.89,0.0001,200 / 200
